,,,,,,,,Common eelgrass (Zostera marina),Common eelgrass (Zostera marina) and seagrass wasting disease (Labyrinthula zosterae),Caspian tern (Hydroprogne caspia),Caspian tern (Hydroprogne caspia),Caspian tern (Hydroprogne caspia),Caspian tern (Hydroprogne caspia),Marbled godwit (Limosa fedoa),Marbled godwit (Limosa fedoa),Marbled godwit (Limosa fedoa),Marbled godwit (Limosa fedoa),Great egret (Ardea alba),Whimbrel (Numenius phaeopus),Willet (Tringa semipalmata),Great egret (Ardea alba),Unknown bird,Unknown bird,Unknown bird,Unknown bird,Unknown bird,Unknown bird,Unknown bird,Unknown bird,Semipalmated plover (Charadrius semipalmatus),Semipalmated plover (Charadrius semipalmatus),Unknown sandpiper (Calidris spp.?),Unknown bird,NA (EtOH field blank),,,,,,,,
,,,,,,,,Healthy,Wasting disease,Healthy meadow,Healthy meadow,Healthy meadow,Healthy meadow,Mudflat,Mudflat,Mudflat,Mudflat,Mudflat,Mudflat,Healthy meadow,Mudflat,Mudflat,Mudflat,Mudflat,Mudflat,Mudflat,Mudflat,Mudflat,Mudflat,Healthy meadow,Healthy meadow,Healthy meadow,Healthy meadow,Blank,,,,,,,,
identifier,annotation,Formula,Exact mass,Super class,Main class,Sub class,m/z,ZH_001,ZWD_002,HM1_003,HM2_004,HM3_005,HM4_006,MF6_007,MF7_008,MF8_009,MF9_010,MF10_011,MF11_012,HM12_013,MF13_014,MF14_015,MF15_016,MF16_017,MF17_018,MF18_019,MF19_020,MF20_021,MF21_022,HM22_023,HM23_024,HM24_025,HM25_026,Control_027,Blank,Blank,Blank,Blank,Pool,Pool,Pool,Pool
0.28_269.16,michler's ketone,C17H20N2O,268.1576,Benzenoids,Benzenes,Benzophenones,269.1645,1.50E+05,4.70E+04,1.80E+06,5.20E+05,1.90E+06,2.40E+08,2.90E+05,7.40E+04,4.50E+04,7.00E+04,3.20E+05,1.60E+05,2.50E+05,2.40E+05,7.10E+04,1.00E+05,5.10E+04,4.00E+04,1.80E+05,7.00E+05,2.40E+05,1.60E+05,1.60E+05,7.90E+04,4.70E+04,6.00E+04,4.60E+04,3.90E+04,6.00E+04,3.10E+04,3.00E+04,5.90E+06,3.00E+06,6.60E+06,5.40E+06
0.15_153.02,gentisic acid,C7H6O4,154.0266,Benzenoids,Benzenes,Hydroxybenzoic acids,153.0195,6.60E+05,3.00E+06,3.80E+04,3.40E+04,3.60E+04,5.60E+07,5.40E+05,9.20E+05,8.00E+03,2.70E+04,4.10E+04,1.20E+05,2.00E+04,4.10E+04,3.60E+04,6.20E+04,9.90E+04,3.40E+04,2.60E+04,na,2.30E+04,1.70E+05,8.60E+04,2.40E+04,1.60E+05,9.20E+05,2.10E+04,4.10E+04,7.80E+04,9.80E+04,5.30E+04,5.90E+05,7.20E+05,9.10E+05,4.80E+05
0.15_191.06,quinic acid,C7H12O6,192.0634,Benzenoids,Benzenes,Hydroxybenzoic acids,191.0563,9.50E+03,9.00E+04,3.20E+05,4.60E+05,2.30E+05,2.60E+06,8.00E+04,2.30E+05,8.70E+04,9.80E+04,3.20E+05,1.10E+05,1.40E+05,7.00E+04,8.50E+04,7.50E+04,1.30E+05,6.20E+04,1.20E+05,3.30E+05,1.00E+05,1.70E+05,1.40E+05,1.10E+05,2.60E+05,2.70E+05,6.50E+04,7.50E+04,6.20E+04,5.50E+04,6.30E+04,2.90E+05,1.60E+05,1.60E+05,2.70E+05
0.06_137.02,salicylic acid,C7H6O3,138.0317,Benzenoids,Benzenes,Hydroxybenzoic acids,137.0238,1.60E+04,1.40E+04,1.60E+04,1.40E+04,2.80E+04,3.70E+07,1.40E+04,1.10E+04,1.00E+04,7.00E+03,1.20E+04,1.20E+04,3.10E+03,1.60E+04,1.80E+04,1.40E+04,1.40E+04,1.70E+04,1.80E+05,7.90E+03,2.90E+04,1.60E+04,3.80E+04,1.60E+04,2.30E+04,2.00E+07,1.70E+04,1.30E+04,1.70E+04,6.60E+03,1.40E+04,1.20E+04,2.00E+04,2.10E+04,1.10E+04
0.15_194.05,salicyluric acid,C9H9NO4,195.0532,Benzenoids,Benzenes,Hydroxybenzoic acids,194.0461,2.80E+06,2.30E+06,1.40E+06,2.30E+06,9.70E+06,1.90E+05,2.20E+05,1.20E+07,1.40E+05,1.80E+05,2.70E+05,3.50E+05,7.30E+05,1.40E+06,na,6.70E+04,7.30E+03,2.40E+04,5.20E+05,9.60E+05,8.50E+04,2.00E+05,3.60E+06,1.70E+05,na,1.70E+05,7.70E+04,na,1.80E+04,na,na,1.20E+06,1.30E+06,1.30E+06,1.30E+06
0.16_151.03,vanillic acid,C8H8O4,168.0423,Benzenoids,Benzenes,Hydroxybenzoic acids,151.0348,9.20E+05,4.60E+05,2.40E+05,2.40E+05,3.70E+05,2.80E+06,8.80E+04,4.70E+04,9.60E+04,8.90E+04,3.20E+05,4.30E+05,1.90E+05,5.10E+04,5.60E+04,3.30E+05,1.30E+05,4.10E+03,7.50E+04,3.90E+05,1.10E+05,3.30E+05,1.70E+05,6.60E+04,4.00E+05,3.40E+03,2.40E+04,3.30E+04,2.90E+04,6.10E+04,2.50E+04,4.90E+05,4.60E+05,4.50E+05,4.50E+05
0.21_212.12,"1,3-diphenylguanidine",C13H13N3,211.1109,Benzenoids,Benzenes,Other benzenes,212.1181,4.80E+07,2.10E+07,8.80E+05,2.70E+05,3.70E+05,8.30E+06,4.70E+05,8.50E+05,1.00E+05,5.10E+04,3.00E+05,2.00E+06,3.60E+05,1.20E+05,1.60E+05,5.00E+05,3.80E+04,1.20E+05,1.30E+05,6.20E+05,5.30E+04,1.30E+06,1.80E+05,9.70E+04,1.40E+05,1.90E+05,1.30E+05,1.70E+04,2.70E+04,6.60E+03,1.80E+04,2.50E+06,2.60E+06,2.70E+06,2.50E+06
0.15_154.06,4-aminosalicylic acid,C7H7NO3,153.0426,Benzenoids,Benzenes,Other benzenes,154.0584,3.10E+04,4.80E+04,4.50E+04,6.00E+04,4.60E+05,1.20E+06,1.10E+03,na,3.50E+04,7.20E+04,9.40E+04,2.40E+04,2.10E+05,2.00E+06,2.30E+03,2.00E+05,4.70E+04,na,1.20E+05,4.40E+04,5.30E+04,3.50E+04,3.10E+05,8.00E+04,3.00E+04,1.20E+05,na,2.40E+03,1.20E+04,na,1.40E+03,1.60E+05,1.70E+05,2.00E+05,1.50E+05
0.18_138.02,4-nitrophenol,C6H5NO3,139.0269,Benzenoids,Phenols,Nitrophenols,138.0199,8.70E+05,2.90E+05,1.90E+05,9.40E+04,1.90E+05,3.40E+08,2.10E+05,2.60E+05,1.10E+05,1.10E+05,1.60E+05,2.20E+05,2.40E+05,1.20E+05,2.40E+05,9.10E+04,2.00E+05,1.50E+05,2.10E+05,3.90E+03,2.00E+05,2.70E+05,5.70E+05,1.40E+05,1.40E+05,8.00E+04,7.30E+04,5.20E+04,6.80E+04,5.90E+04,4.90E+04,1.50E+05,2.80E+05,2.80E+05,3.00E+05
0.77_396.25,piperchabamide C,C25H33NO3,395.246033,Benzodioxoles,Benzodioxoles,Benzodioxoles,396.2534,na,1.20E+04,na,na,4.00E+04,6.40E+05,3.60E+03,8.10E+03,3.50E+03,1.40E+04,na,3.70E+03,6.80E+03,5.70E+03,1.10E+04,6.40E+03,1.20E+03,5.90E+03,1.70E+05,na,8.80E+03,na,1.50E+03,6.10E+03,3.60E+03,1.20E+04,na,na,na,8.50E+03,2.50E+03,7.70E+04,9.90E+04,8.50E+04,8.60E+04
